Citation	Subject	Subject Label	Non grounded Subject	Potential MAXO	Predicate	Object	Object Label	Non grounded Object	Potential HP	Qualifier	Qualifier Label	Non grounded Qualifier	Potential MONDO	Subject Qualifier	Subject Extension	Object Extension	Count
26275891	maxo:0009004	exome sequencing		[]	treats			other sonographic abnormalities	[]			sonographic abnormalities	[]				1
26275891			trio sequencing	[]	prevents			diagnostic delays	[]			sonographic abnormalities	[]		trio sequencing		1
31721633			lymphoscintigraphic imaging	[]	treats			little or no uptake from the initial lymphatics	[]			milroy disease	[('MONDO:0000001', 'Milroy disease'), ('MONDO:0000001', 'disease')]		lymphoscintigraphic imaging		1
31721633			lymphoscintigraphic imaging	[]	treats			poor visualization of the inguinal lymph nodes	[]			milroy disease	[('MONDO:0000001', 'Milroy disease'), ('MONDO:0000001', 'disease')]		lymphoscintigraphic imaging		1
31721633			lymphoscintigraphic imaging	[]	treats			lymphatic collector reflux	[]	mondo:0007922	lymphedema-distichiasis syndrome		[]				1
31721633			lymphoscintigraphic imaging	[]	treats			reduced uptake of tracer within the inguinal lymph nodes	[]	mondo:0007919	milroy disease		[]				1
31721633			lymphoscintigraphic imaging	[]	treats			higher residual activity in the feet at 2 hours	[]			milroy disease	[('MONDO:0000001', 'Milroy disease'), ('MONDO:0000001', 'disease')]		lymphoscintigraphic imaging		1
3221210	maxo:0000079	genetic counseling		[]	prevents			genital lymphedema	[('HP:0001004', 'Lymphedema')]			hereditary congenital lymphedema	[('MONDO:0017319', 'lymphedema'), ('MONDO:0019297', 'congenital')]				1
3221210	maxo:0000079	genetic counseling		[]	prevents			pseudo sexual ambiguity	[]			hereditary congenital lymphedema	[('MONDO:0017319', 'lymphedema'), ('MONDO:0019297', 'congenital')]				1
3221210	maxo:0000079	genetic counseling		[]	prevents			lymphedema of the lower limbs	[('HP:0001004', 'Lymphedema')]			hereditary congenital lymphedema	[('MONDO:0017319', 'lymphedema'), ('MONDO:0019297', 'congenital')]				1
12558846			leg compression	[]	treats			erythematous, smooth-topped, waxy papules	[('HP:0010783', 'Erythema'), ('HP:0200034', 'Papule')]	mondo:0003640	verruciform xanthoma		[]				1
12558846			leg compression	[]	treats			hemorrhagic verrucous papules	[('HP:0012500', 'Verrucous papule'), ('HP:0200034', 'Papule')]	mondo:0003640	verruciform xanthoma		[]				1
12558846			curettage	[]	treats			erythematous, smooth-topped, waxy papules	[('HP:0010783', 'Erythema'), ('HP:0200034', 'Papule')]	mondo:0003640	verruciform xanthoma		[]				1
12558846			curettage	[]	treats			hemorrhagic verrucous papules	[('HP:0012500', 'Verrucous papule'), ('HP:0200034', 'Papule')]	mondo:0003640	verruciform xanthoma		[]				1
12558846			electrodesiccation	[]	treats			erythematous, smooth-topped, waxy papules	[('HP:0010783', 'Erythema'), ('HP:0200034', 'Papule')]	mondo:0003640	verruciform xanthoma		[]				1
12558846			electrodesiccation	[]	treats			hemorrhagic verrucous papules	[('HP:0012500', 'Verrucous papule'), ('HP:0200034', 'Papule')]	mondo:0003640	verruciform xanthoma		[]				1
34681005			icg lymphography	[('MAXO:0035035', 'lymphography')]	treats			lower limb lymphedema	[('HP:0001004', 'Lymphedema')]	mondo:0007919	milroy disease		[]				1
34681005			skin tissue immunohistochemical staining	[]	treats			initial lymphatic aplasia	[]	mondo:0007919	milroy disease		[]				1
34681005			icg lymphography	[('MAXO:0035035', 'lymphography')]	treats			delayed contrast-enhanced tortuous lymphatic vessels	[('HP:0033986', 'Tortuous lymphatic vessels')]	mondo:0007919	milroy disease		[]	with indocyanine green	chebi:31696		1
20536741			fluorescence microlymphangiography	[]	treats			swollen foot	[]	mondo:0007919	milroy disease		[]		fluorescence microlymphangiography		1
20536741			immunohistochemistry	[]	treats			reduced dermal lymphatic density	[]	mondo:0007919	milroy disease		[]	podoplanin and lyve-1	podoplanin and lyve-1 immunohistochemistry		1
20536741			colour doppler duplex ultrasound	[]	treats			saphenous venous reflux	[]			milroy disease	[('MONDO:0000001', 'Milroy disease'), ('MONDO:0000001', 'disease')]		colour doppler duplex ultrasound		1
29908552			whole-exome sequencing	[('MAXO:0009004', 'exome sequencing')]	treats			dermal lymphatic vasculature existence	[]	mondo:0019175	primary lymphedema		[]				1
29908552			magnetic resonance lymphangiography	[]	treats			dilated lymph collectors	[]	mondo:0019175	primary lymphedema		[]				1
29908552			fluorescence lymphography	[('MAXO:0035035', 'lymphography')]	treats	hp:0033986	tortuous lymphatics		[]	mondo:0019175	primary lymphedema		[]		indiocyanine green		1
29908552			immunofluorescent lymphatic staining	[]	treats			significant lymphatic dysfunction	[]	mondo:0019175	primary lymphedema		[]				1
709985			scintilymphangiography	[]	treats			lower limb edema	[('HP:0000969', 'Edema')]	mondo:0007919	nonne-milroy disease		[]		99mtc-antimony sulfide colloid		1
709985			scintilymphangiography	[]	diagnoses			scintilymphangiographic abnormality	[]			nonne-milroy disease	[('MONDO:0000001', 'Nonne-Milroy disease'), ('MONDO:0000001', 'Milroy disease')]		99mtc-antimony sulfide colloid		1
709985			scintilymphangiography	[]	diagnoses			small and few inguinal, iliac, and para-aortic nodes	[]	mondo:0007919	nonne-milroy disease		[]		99mtc-antimony sulfide colloid		1
25896638			consideration of hereditary lymphedema in differential diagnosis	[]	treats			fetal edema	[('HP:0000969', 'Edema')]			hereditary lymphedema type i	[('MONDO:0017319', 'hereditary lymphedema type I'), ('MONDO:0019297', 'hereditary lymphedema')]				1
25896638			consideration of hereditary lymphedema in differential diagnosis	[]	treats			fluid accumulation in body cavities	[('HP:0500001', 'BO')]	mondo:0007919	milroy disease		[]				1
25896638			consideration of hereditary lymphedema in differential diagnosis	[]	treats			hydrops fetalis	[('HP:0000969', 'Hydrops fetalis'), ('HP:0001789', 'Hydrops')]			hereditary lymphedema type i	[('MONDO:0017319', 'hereditary lymphedema type I'), ('MONDO:0019297', 'hereditary lymphedema')]				1
25896638			consideration of hereditary lymphedema in differential diagnosis	[]	treats			fetal chylous ascites	[('HP:0001541', 'Chylous ascites'), ('HP:0012281', 'Ascites')]			hereditary lymphedema type i	[('MONDO:0017319', 'hereditary lymphedema type I'), ('MONDO:0019297', 'hereditary lymphedema')]				1
25896638			consideration of hereditary lymphedema in differential diagnosis	[]	treats	hp:0010310	chylothorax		[]	mondo:0007919	milroy disease		[]				1
26714373			mr lymphangiography	[]	treats			congenital onset lymphedema	[('HP:0001004', 'Lymphedema'), ('HP:0003577', 'Congenital onset')]	mondo:0007919	milroy disease		[]				1
19289394			large scale screening	[]	prevents			insufficient lymphatic functioning	[]			recessive primary congenital lymphoedema	[('MONDO:0019297', 'lymphoedema'), ('MONDO:0016019', 'congenital')]		vegfr3		1
19289394			assessment of receptor function	[]	treats			impaired ligand induced internalisation	[]			recessive primary congenital lymphoedema	[('MONDO:0019297', 'lymphoedema'), ('MONDO:0016019', 'congenital')]				1
19289394			assessment of receptor function	[]	treats			reduced erk1/2 activity	[]			recessive primary congenital lymphoedema	[('MONDO:0019297', 'lymphoedema'), ('MONDO:0016019', 'congenital')]				1
19289394			assessment of receptor function	[]	treats			reduced receptor phosphorylation	[]			recessive primary congenital lymphoedema	[('MONDO:0019297', 'lymphoedema'), ('MONDO:0016019', 'congenital')]				1
25109169	maxo:0000127	genetic analysis		[]	treats			lack of tracer transport	[]	mondo:0007919	milroy disease		[]				1
28748022	maxo:0000011	physiotherapy		[]	treats			accumulation of lymphatic fluid	[]	mondo:0007919	milroy disease		[]				1
28748022			bandages	[]	treats			big oedematous right leg	[('HP:0000969', 'Oedema'), ('HP:0012834', 'Right')]	mondo:0007919	milroy disease		[]				1
28748022			compression stockings	[]	treats			big oedematous right leg	[('HP:0000969', 'Oedema'), ('HP:0012834', 'Right')]	mondo:0007919	milroy disease		[]				1
22021048			prenatal diagnosis	[]	prevents			complications	[]	mondo:0007919	milroy disease		[]				1
