Citation	Subject	Subject Label	Predicate	Object	Object Label	Qualifier	Qualifier Label	Subject Qualifier	Subject Extension	Object Extension	Count
30721323	prescribing corticosteroids		treats	weakness in the proximal parts of the lower limbs		mondo:0007542	camurati-engelmann disease	with corticosteroids	chebi:50858		1
30721323	prescribing corticosteroids		treats	hp:0001288	gait disturbance	mondo:0007542	camurati-engelmann disease	with corticosteroids	chebi:50858		1
8068367	radiological imaging		diagnoses	symmetrical hyperostosis of the long bones and the skull-base		camurati-engelmann's disease		traditional x-rays and ct scan			1
8068367	radiological imaging		diagnoses	high-grade skull-base hyperostosis		camurati-engelmann's disease		na	traditional x-rays and ct scan	na	1
35315241	laboratory examinations		identifies	high levels of inflammatory markers		mondo:0007542	camurati-engelmann disease				1
35315241	laboratory examinations		identifies	increased bone metabolism indicators		mondo:0007542	camurati-engelmann disease				1
35315241	radiographic examinations		reveals	thickened diaphysis of long bones		mondo:0007542	camurati-engelmann disease				1
35315241	radiographic examinations		reveals	narrowed medullary cavity		camurati-engelmann disease			radiographic examination		1
35315241	bone scintigraphy		detects	abnormal symmetrical radioactive concentrations in affected regions of bone		mondo:0007542	camurati-engelmann disease				1
35315241	sanger sequencing		confirms	camurati-engelmann disease					tgfb1 gene variants		1
35315241	maxo:0000058	drug treatment	treats	progressive bone pain		mondo:0007542	camurati-engelmann disease		drug treatment		1
35315241	drug treatment		treats	muscle atrophy		camurati-engelmann disease			drug treatment		1
16858582	neurological work-up		treats	tottering gait		pitfalls in paediatric gait disturbances					1
34490910	hr-pqct assessment		treats	alteration of bone density, microarchitecture, and strength		mondo:0009032	camurati-engelmann disease (ced)		hr-pqct assessment		1
34490910	retrospective review		treats	evaluation of manifestations and examination results		mondo:0009032	camurati-engelmann disease (ced)				1
28682867	treatment		treats	intermittent tetany		mondo:0007542	camurati-engelmann disease		chebi:3309		1
2058515	treats		treats	multiple cranial neuropathies		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:74698		1
23729546	genetic analysis		treats	osteoporosis		mondo:0009032	camurati-engelmann disease (ced)		tgfb1 gene		1
23729546	maxo:0000127	genetic analysis	treats	hp:0100512	vitamin d deficiency	mondo:0009032	camurati-engelmann disease (ced)		tgfb1 gene		1
23729546	genetic analysis		treats	delayed puberty		mondo:0009032	camurati-engelmann disease (ced)		tgfb1 gene		1
23729546	maxo:0000127	genetic analysis	treats	hp:0000044	hypogonadotrophic hypogonadism	mondo:0009032	camurati-engelmann disease (ced)		tgfb1 gene		1
23729546	with prednisone		treats	hp:0000939	osteoporosis	mondo:0009032	camurati-engelmann disease (ced)		chebi:8382		1
23729546	prednisone		treats	hp:0100512	vitamin d deficiency	mondo:0009032	camurati-engelmann disease (ced)	with prednisone	chebi:8382		1
23729546	prednisone		treats	hp:0000823	delayed puberty	mondo:0009032	camurati-engelmann disease (ced)	with prednisone	chebi:8382		1
23729546	prednisone		treats	hp:0000044	hypogonadotrophic hypogonadism	mondo:0009032	camurati-engelmann disease (ced)	with prednisone	chebi:8382		1
23729546	prednisone		treats	hp:0000870	hyperprolactinaemia	mondo:0009032	camurati-engelmann disease (ced)	with prednisone	chebi:8382		1
23729546	prednisone		treats	hp:0000858	menstrual irregularity	mondo:0009032	camurati-engelmann disease (ced)	with prednisone	chebi:8382		1
23729546	calcium supplements		treats	hp:0000939	osteoporosis	mondo:0009032	camurati-engelmann disease (ced)		calcium supplements		1
23729546	vitamin d supplements		treats	hp:0100512	vitamin d deficiency	mondo:0009032	camurati-engelmann disease (ced)		vitamin d supplements		1
23503840	biochemical examinations		treats	growth developmental delay		camurati-engelmann disease					1
23503840	radiographic examinations		treats	fusiform thickening of the diaphyseal portions of the long bones		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
23503840	bone scintigraphy		treats	abnormal uptake of tracer		mondo:0007542	progressive diaphyseal dysplasia (pdd)	with tc-99m	tc-99m		1
23503840	maxo:0000127	genetic analysis	treats	p.arg218cys mutation		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
17433803	polymerase chain reaction		identifies	mutation		mondo:0007542	camurati-engelmann disease	with tgf beta1	tgf beta1		1
17433803	direct sequencing analysis of pcr products		identifies	mutation		mondo:0007542	camurati-engelmann disease	with tgf beta1	tgf beta1		1
17433803	single-strand conformation polymorphism analysis		identifies	mutation		mondo:0007542	camurati-engelmann disease	with tgf beta1	tgf beta1		1
9580522	bone scan		diagnoses	hp:0100252	camurati-engelmann disease			with chemical	chemical		1
3615880	radiographic follow-up		treats	minimal endosteal thickening		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
3615880	radiographic follow-up		treats	severe sclerosis of long bones, skull, and vertebrae		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
3615880	ct scanning		treats	irregular and inhomogeneous distribution of the osteosclerotic process		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
3615880	ct scanning		treats	distinct pattern of vertebral sclerosis		progressive diaphyseal dysplasia (pdd)			ct scanning		1
27928112	tgfb1 mutation screening		prevents	sclerosing bone disorder		mondo:0007542	progressive diaphyseal dysplasia (pdd)		tgfb1 mutation screening		1
27928112	reporter gene assays		prevents	skull and femur sclerosis		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
23577825	anesthesia		prevents	complications		mondo:0007542	camurati-engelmann disease				1
2734958	radiological diagnosis		treats	sclerotical hyperostosis		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
23368730	maxo:0000526	clinical examination	treats	hp:0000786	primary amenorrhea	mondo:0009032	camurati-engelmann disease (ced)				1
23368730	clinical examination		treats	hearing impairment		mondo:0009032	camurati-engelmann disease (ced)				1
23368730	ultrasound		treats	hp:0000786	primary amenorrhea	mondo:0009032	camurati-engelmann disease (ced)				1
23368730	laboratory evaluations		treats	hp:0000786	primary amenorrhea	mondo:0009032	camurati-engelmann disease (ced)		serum gonadotropins (fsh, lh)		1
23368730	laboratory evaluations		treats	hp:0000786	primary amenorrhea	mondo:0009032	camurati-engelmann disease (ced)	with serum basal estradiol	serum basal estradiol		1
23368730	radiological studies		treats	skeletal deformities		mondo:0009032	camurati-engelmann disease (ced)				1
23368730	g-banding karyotype		treats	genetic disorder		mondo:0009032	camurati-engelmann disease (ced)				1
23368730	polymerase chain reaction and dna sequencing		treats	genetic disorder		mondo:0009032	camurati-engelmann disease (ced)	with transforming growth factor beta 1	transforming growth factor beta 1		1
15577805	internal auditory canal decompression		treats	hp:0000365	deafness	mondo:0007542	camurati-engelmann disease				1
15577805	cochlear implantation		treats	hp:0000365	deafness	mondo:0007542	camurati-engelmann disease				1
15326622	treatment		treats	hp:0012514	leg pain	mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:8382		1
15326622	treatment		treats	hp:0025406	weakness	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with prednisone	chebi:8382		1
15326622	screening for mutations		treats	skull hyperostosis		mondo:0007542	progressive diaphyseal dysplasia (pdd)	with tgfb1	tgfb1		1
15326622	genotyping		prevents	skull hyperostosis		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
15326622	linkage and mutational analysis		prevents	severe skull thickening		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
12789096	administration		treats	grinding pain in the limbs		camurati-engelmann's disease			strong painkillers		1
12789096	plain x-rays		diagnose	symmetrical thickening and sclerosis of the diaphyses of the appendicular skeleton and skull base		camurati-engelmann's disease					1
19654961	mutation analysis		prevents	none		mondo:0009032	camurati-engelmann disease (ced)	none	none	none	1
15660289	treatment		fails to treat	symptoms		mondo:0007542	camurati-engelmann disease		chebi:77383	painful	1
15660289	treatment		treats	painful symptoms		mondo:0007542	camurati-engelmann disease	with	chebi:50858		1
33258798	new therapeutic approaches		treats	altered bone erosion		rare diseases of bone formation					1
33258798	new therapeutic approaches		treats	altered bone formation		rare diseases of bone formation					1
19943817	curettage		treats	hp:0030038	enchondroma	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
19943817	artificial bone grafting		treats	enchondroma		camurati-engelmann disease					1
28842728	dual-energy x-ray absorptiometry (dxa)		assists in diagnosing	high bone mass		mondo:0007542	camurati-engelmann disease				1
28842728	bone impact microindentation		assesses	low bone material strength index (bmsi)		camurati-engelmann disease					1
9701854	administration of corticosteroids		treats	hp:0009763	limb pain	mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:50858		1
9701854	administration of corticosteroids		treats	hp:0001324	muscular weakness	mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:50858		1
9701854	use of analgesics		treats	hp:0009763	limb pain	mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:35480		1
9701854	administration of corticosteroids		treats	hp:0009763	limb pain	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with corticosteroids	chebi:50858		1
9701854	administration of corticosteroids		treats	hp:0001324	muscular weakness	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with corticosteroids	chebi:50858		1
18690431	bone scan		detects	hp:0100252	camurati-engelmann disease				99mtc-hmdp		1
3220732	drilling and reaming the medullary canal		treats	hp:0012531	pain	camurati-engelmann's disease					1
3220732	drilling and reaming the medullary canal		treats	hp:0100774	hyperostosis	camurati-engelmann's disease					1
3220732	drilling and reaming the medullary canal		treats	sclerosis		camurati-engelmann's disease					1
8187392	corticosteroid treatment		treats	crippling pain		progressive diaphyseal dysplasia (camurati-engelmann's disease)			corticosteroid		1
8187392	treatment		treats	severe aching		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:50858		1
8187392	treatment		treats	episodic temporofrontal and occipital headache		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:50858		1
8187392	withdrawal of steroid treatment		prevents	crippling pain		mondo:0007542	progressive diaphyseal dysplasia (pdd)	with corticosteroid	chebi:50858		1
8187392	withdrawal of steroid treatment		prevents	severe aching		mondo:0007542	progressive diaphyseal dysplasia (pdd)	with corticosteroid	chebi:50858		1
8187392	withdrawal of steroid treatment		prevents	episodic temporofrontal and occipital headache		mondo:0007542	progressive diaphyseal dysplasia (pdd)	with corticosteroid	chebi:50858		1
8187392	maxo:0001321	scintigraphy	detects	widespread pain		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:32186		1
10342062	treatment		treats	hp:0100252	camurati-engelmann disease				chebi:7903		1
17206397	treatment		treats	severe skeletal pain		mondo:0007542	camurati-engelmann disease	with	chebi:8378		1
17206397	pamidronate infusions		prevents	progression of osteoporosis		mondo:0007542	camurati-engelmann disease	with pamidronate	chebi:7903		1
31635703	cranial expansion		treats	hp:0001085	papilledema	mondo:0007542	camurati-engelmann disease				1
19415629	generation of conditional knockout allele		prevents	abnormal peripheral t-cell activation		mondo:0007179	autoimmunity		tgfb1		1
19415629	disruption of tgfb1 in t cells		treats	disruption of t-cell homeostasis		mondo:0007179	autoimmunity		tgfb1		1
19415629	generation of conditional knockout allele for tgfb1		prevents	hp:0002960	autoimmunity				transforming growth factor beta1		1
9933401	radiographic investigation		treats	right thigh and knee pain		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
9933401	radiographic investigation		treats	fusiform, bilaterally symmetrical enlargement of the diaphyses and metaphyses of the long bones		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
9933401	radiographic investigation		treats	narrowed medullary cavity		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
7917133	bone scintigraphy		treats	hp:0001324	muscular weakness	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
7917133	bone scintigraphy		treats	hp:0002515	waddling gait	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
7917133	bone scintigraphy		treats	severe pain in the extremities		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
7917133	roentgenographic examination		treats	hp:0001324	muscular weakness	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
7917133	roentgenographic examination		treats	hp:0002515	waddling gait	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
7917133	roentgenographic examination		treats	severe pain in the extremities		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
11452173	maxo:0001298	therapy	treats	hp:0002653	bone pain	mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:7903		1
11452173	corticosteroid therapy		treats	hp:0002653	bone pain	mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:50858		1
11452173	pamidronate therapy		treats	increased diaphyseal uptake of tc-99m hmdp		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:7903		1
11452173	corticosteroid therapy		prevents	increased diaphyseal uptake of tc-99m hmdp		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:50858		1
15205159	maxo:0000571	ct scan	treats	progressive otic capsule demineralization		mondo:0019019	osteogenesis imperfecta	none	none	none	1
15205159	mr imaging		treats	enhanced abnormal otic capsule		mondo:0019019	osteogenesis imperfecta				1
12843182	inhibition of osteoclast formation		prevents	osteoclast formation		mondo:0009032	camurati-engelmann disease (ced)		soluble tgfbeta type ii receptor	enhanced	1
12843182	inhibition of osteoclast formation		prevents	hp:0002797	increased bone resorption	mondo:0009032	camurati-engelmann disease (ced)		soluble tgfbeta type ii receptor		1
16638728	clinical diagnosis		treats	hp:0001324	muscular weakness	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
16638728	clinical diagnosis		treats	hp:0002515	waddling gait	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
16638728	clinical diagnosis		treats	hp:0002653	bone pain	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
16638728	clinical diagnosis		treats	increased fatigability		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
16638728	clinical diagnosis		treats	hp:0002902	hyponatremia	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
16638728	clinical diagnosis		treats	hp:0002153	hyperkalemia	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
16638728	clinical diagnosis		treats	almost undetectable serum testosterone		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
16638728	discussion of hormonal and histopathologic changes		prevents	hp:0000135	hypogonadism	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with transforming growth factor (tgf-b 1)	transforming growth factor (tgf-b 1)		1
18514293	reduction craniotomy with subtemporal decompression		treats	increased icp		acquired chiari malformation secondary to hyperostosis of the skull					1
18514293	reduction craniotomy with subtemporal decompression		treats	downward tonsilar displacement		acquired chiari malformation secondary to hyperostosis of the skull					1
23846138	maxo:0000127	genetic analysis	treats	delayed identification of ced		mondo:0009032	camurati-engelmann disease (ced)		tgfbeta1 gene		1
23846138	treatment		treats	hp:0000939	osteoporosis	mondo:0007542	camurati-engelmann disease		chebi:8382		1
23846138	calcium supplements		treats	osteoporosis		mondo:0009032	camurati-engelmann disease (ced)		calcium supplements		1
23846138	treats		treats	hp:0100512	vitamin d deficiency	mondo:0009032	camurati-engelmann disease (ced)		vitamin d supplements		1
23846138	treatment		treats	hp:0000870	hyperprolactinaemia	mondo:0009032	camurati-engelmann disease (ced)		chebi:8382		1
23846138	treatment		treats	hp:0000858	menstrual irregularity	mondo:0007542	camurati-engelmann disease		chebi:8382		1
32668141	radiograph		treats	hp:0034267	pelvic pain	mondo:0007542	camurati-engelmann disease				1
32668141	magnetic resonance imaging		treats	hp:0030838	hip pain	mondo:0007542	camurati-engelmann disease				1
32668141	computed tomography		treats	lower extremity aching and pain		camurati-engelmann disease			computed tomography		1
32668141	histopathologic imaging studies		treats	pelvic pain		camurati-engelmann disease			histopathologic imaging		1
32668141	sequencing		prevents	misdiagnosis		camurati-engelmann disease			transforming growth factor beta 1 gene		1
2823332	treatment with corticosteroids		treats	hp:0000365	deafness	mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:50858		1
2823332	treatment		treats	vestibular disturbances		mondo:0007542	progressive diaphyseal dysplasia (pdd)	with	chebi:50858		1
2823332	treatment		treats	hp:0007209	facial paralysis	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with	chebi:50858		1
2823332	treatment		treats	damage to the optic nerves		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:50858		1
2823332	treatment		treats	hp:0000365	deafness	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with calcitonin	chebi:3306		1
2823332	treatment		treats	vestibular disturbances		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:3306		1
2823332	treatment		treats	hp:0007209	facial paralysis	mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:3306		1
2823332	treatment		treats	damage to the optic nerves		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:3306		1
2823332	treatment		treats	hp:0000365	deafness	mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:29262		1
2823332	treatment with diphosphonates		treats	vestibular disturbances		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:29262		1
2823332	treatment		treats	hp:0007209	facial paralysis	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with	chebi:29262		1
2823332	treatment		treats	damage to the optic nerves		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:29262		1
2823332	surgical treatment for decompression of involved nerves		treats	compression of cranial nerves		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
8894811	stapes surgery		treats	progressive mixed hearing loss		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
8894811	vestibular examinations		assess	episodes of vertigo		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
27484238	whole-body radiological investigations		treats	diagnosis		mondo:0007542	camurati-engelmann disease				1
27484238	bone scintigraphic investigations		treats	diagnosis		mondo:0007542	camurati-engelmann disease				1
27484238	automated dna sequencing		treats	diagnosis		mondo:0007542	camurati-engelmann disease				1
33086975	maxo:0001298	therapy	treats	hp:0004349	decreased bone mineral density	camurati-engelmann disease, osteoporosis			denosumab		1
33086975	treatment		prevents	hp:0020110	fractures	camurati-engelmann disease, osteoporosis			chebi:2567		1
19214502	imaging		treats	none		mondo:0007542	camurati-engelmann disease				1
19214502	follow-up examinations		treats	none		mondo:0007542	camurati-engelmann disease				1
25140400	treatment		treats	severe and incapacitating pain		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:6541		1
25140400	treatment		treats	difficulty walking and performing physical activities		camurati-engelmann disease			losartan		1
25140400	increase in physical activity		prevents	difficulty walking and performing physical activities		camurati-engelmann disease					1
10685567	cochlear implantation		treats	hp:0000365	deafness	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
10685567	preoperative imaging		prevents	complications		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
10685567	inactivation of 1 electrode		prevents	facial nerve stimulation		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
22044122	intranasal calcitonin		treats	hp:0002653	bone pain	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with calcitonin	chebi:3306		1
15987595	aggressive cranial vault decompression		treats	hp:0002516	increased intracranial pressure	camurati-engelmann's disease					1
15987595	aggressive cranial vault decompression		treats	hp:0004437	cranial hyperostosis	camurati-engelmann's disease					1
15987595	multiple craniotomies		treats	hp:0004437	cranial hyperostosis	camurati-engelmann's disease					1
37116016	diagnosis with radiographic findings and molecular genetic testing for tgf beta-1 mutation		treats	unknown symptoms		mondo:0009032	camurati-engelmann disease (ced)				1
37116016	treatment		treats	hp:0009763	limb pain	mondo:0009032	camurati-engelmann disease (ced)	with corticosteroids	chebi:50858		1
37116016	treatment		treats	hp:0009763	limb pain	mondo:0009032	camurati-engelmann disease (ced)	with losartan	chebi:6541		1
20566907	surgical management		treats	hp:0000365	deafness	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
20566907	surgical management		treats	hp:0002315	headache	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
20566907	surgical management		treats	hp:0000520	exophthalmos	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
20566907	surgical management		treats	hp:0002007	frontal bossing	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
20566907	aggressive decompression surgery		treats	vision changes		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
20566907	aggressive decompression surgery		treats	hp:0002321	vertigo	mondo:0007542	progressive diaphyseal dysplasia (pdd)	aggressive			1
20566907	aggressive decompression surgery		treats	hp:0030319	facial weakness	mondo:0007542	progressive diaphyseal dysplasia (pdd)	aggressive			1
20566907	aggressive decompression surgery		treats	symptomatic brainstem compression		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
20566907	aggressive decompression surgery		treats	facial numbness		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
20566907	aggressive decompression surgery		treats	hp:0004409	hyposmia	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
20566907	corticosteroids		treat	torso and extremity involvement		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:50858		1
20566907	bisphosphates		treat	torso and extremity involvement		mondo:0007542	progressive diaphyseal dysplasia (pdd)		bisphosphates		1
