Ratings,PMID        Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,32897878	BCL11A enhancer-edited hematopoietic stem cells persist in rhesus monkeys without toxicity. Gene editing of the erythroid-specific BCL11A enhancer in hematopoietic stem and progenitor cells (HSPCs) from patients with sickle cell disease (SCD) induces fetal hemoglobin (HbF) without detectable toxicity,as assessed by mouse xenotransplant. Here,we evaluated autologous engraftment and HbF induction potential of erythroid-specific BCL11A enhancer-edited HSPCs in 4 nonhuman primates. We used a single guide RNA (sgRNA) with identical human and rhesus target sequences to disrupt a GATA1 binding site at the BCL11A +58 erythroid enhancer. Cas9 protein and sgRNA ribonucleoprotein complex (RNP) was electroporated into rhesus HSPCs,followed by autologous infusion after myeloablation. We found that gene edits persisted in peripheral blood (PB) and bone marrow (BM) for up to 101 weeks similarly for BCL11A enhancer- or control locus-targeted (AAVS1-targeted) cells. Biallelic BCL11A enhancer editing resulted in robust gamma-globin induction,with the highest levels observed during stress erythropoiesis. Indels were evenly distributed across PB and BM lineages. Off-target edits were not observed. Nonhomologous end-joining repair alleles were enriched in engrafting HSCs. In summary,we found that edited HSCs can persist for at least 101 weeks after transplant and biallelic-edited HSCs provide substantial HbF levels in PB red blood cells,together supporting further clinical translation of this approach.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,35605629	Post-discharge morbidity and mortality in children admitted with severe anaemia and other health conditions in malaria-endemic settings in Africa: a systematic review and meta-analysis. BACKGROUND: Severe anaemia is associated with high in-hospital mortality among young children. In malaria-endemic areas,surviving children also remain at increased risk of mortality for several months after hospital discharge. We aimed to compare the risks of morbidity and mortality among children discharged from hospital after recovery from severe anaemia versus other health conditions in malaria-endemic settings in Africa. METHODS: Following PRISMA guidelines,we searched PubMed,Scopus,Web of Science,and Cochrane Central from inception to Nov 30,"$2,021.00",without language restrictions,for prospective or retrospective cohort studies and randomised controlled trials that followed up children younger than 15 years for defined periods after hospital discharge in malaria-endemic countries in Africa. We excluded the intervention groups in trials and studies or subgroups involving children with sickle cell anaemia,malignancies,or surgery or trauma,or those reporting follow-up data that were combined with the in-hospital period. Two independent reviewers extracted the data and assessed the quality and risk of bias using the Newcastle Ottawa Scale or the Cochrane Collaboration's tool. The coprimary outcomes were all-cause death and all-cause readmissions 6 months after discharge. This study is registered with PROSPERO,CRD42017079282. FINDINGS: Of 2930 articles identified in our search,27 studies were included. For children who were recently discharged following hospital admission with severe anaemia,all-cause mortality by 6 months was higher than during the in-hospital period (n=5 studies; Mantel-Haenszel odds ratio 1 72,95% CI 1 22-2 44; p=0 0020; I2=51 5%) and more than two times higher than children previously admitted without severe anaemia (n=4 studies; relative risk [RR] 2 69,95% CI 1 59-4 53; p<0 0001; I2=69 2%). Readmissions within 6 months of discharge were also more common in children admitted with severe anaemia than in children admitted with other conditions (n=1 study; RR 3 05,1 12-8 35; p<0 0001). Children admitted with severe acute malnutrition (regardless of severe anaemia) also had a higher 6-month mortality after discharge than those admitted for other reasons (n=2 studies; RR=3 12,2 02-4 68; p<0 0001; I2=54 7%). Other predictors of mortality after discharge included discharge against medical advice,HIV,bacteraemia,and hypoxia. INTERPRETATION: In malaria-endemic settings in Africa,children admitted to hospital with severe anaemia and severe acute malnutrition are at increased risk of mortality in the first 6 months after discharge compared with children admitted with other health conditions. Improved strategies are needed for the management of these high-risk groups during the period after discharge. FUNDING: Research Council of Norway and US Centers for Disease Control and Prevention.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,28460533	A Multidisciplinary Approach to Impact Acute Care Utilization in Sickle Cell Disease. Sickle cell disease (SCD),an inherited red blood cell disorder,is characterized by anemia,end-organ damage,unpredictable episodes of pain,and early mortality. Emergency department (ED) visits and hospitalizations are frequent,leading to increased burden on patients and increased health care costs. This study assessed the effects of a multidisciplinary care team intervention on acute care utilization among adults with SCD. The multidisciplinary care team intervention included monthly team meetings and development of individualized care plans. Individualized care plans included targeted pain management plans for management of uncomplicated pain crisis. Following implementation of the multidisciplinary care team intervention,a significant decrease in ED utilization was identified among those individuals with a history of high ED utilization. Findings highlight the potential strength of multidisciplinary interventions and suggest that targeting interventions toward high-utilizing subpopulations may offer the greatest impact.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,30577305	Pegylated Bovine Carboxyhemoglobin (SANGUINATE) in a Jehovah's Witness Undergoing Liver Transplant: A Case Report. Liver transplantation in practicing Jehovah's Witnesses is challenging because of their religious beliefs preventing them from accepting allogenic blood products. Pegylated bovine carboxyhemoglobin (SANGUINATE) is an oxygen transfer agent,currently under investigation for the treatment of sickle cell disease,which may play a role in these patients by maximizing perioperative oxygen delivery. We report a case involving the use of SANGUINATE in a Jehovah's Witness undergoing liver transplant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,31743315	Social Determinants of Health and Emergency Department Use Among Children With Sickle Cell Disease. Sickle cell disease (SCD) is associated with disproportionate emergency department (ED) use. This study described the social determinants of health associated with ED visits and hospital admission from the ED among children with SCD using a nationally representative dataset. We analyzed data from 126 children 0 to 17 years of age with SCD included in the 2011 to 2017 rounds of the National Health Interview Survey (mean age,8 y; 50% female individuals; 74% African American). Study variables were summarized using weighted means and proportions and compared according to ED use and admission by Wald tests. Fifty-two identified children had visited the ED within the last 12 months and 21 were admitted to the hospital after their most recent ED visit. Children living in a single-mother household were more likely to visit the ED (P=0.040),as were younger children (mean age,6 vs. 9 y; P=0.034),with no evaluated social determinants of health significantly impacting hospital admission from the ED. The lack of association between ED use and either poverty or insurance type may be related to the overall high level of social disadvantage among children with SCD. Our findings demonstrate the need to better characterize specific social factors impacting acute care use among children with SCD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,32889827	Role of complement in alloimmunization and hyperhemolysis. PURPOSE OF REVIEW: The purpose of this review is to summarize the role of complement in regulating the removal of a target alloantigen following an incompatible red blood cell (RBC) transfusion,the formation of alloantibodies following RBC alloantigen exposure,and the development of hyperhemolysis in patients with sickle cell disease (SCD). RECENT FINDINGS: Recent studies demonstrate that complement can accelerate alloantibody-mediated removal of target alloantigens from the RBC surface following incompatible transfusion. Complement also influences alloantigen availability during developing alloimmune responses and serves as a unique mediator of CD4 T-cell-independent alloantibody formation following RBC alloantigen exposure. Finally,alternative complement pathway activation appears to play a key role in the development of acute hemolytic episodes in patients with SCD,providing a potential druggable target to prevent acute complications in patients with this disease. SUMMARY: Recent studies suggest that complement can regulate a wide variety of processes germane to hematology,from transfusion complications to baseline hemolysis in patients with SCD. As the role of complement in various disease processes becomes more fully understood,the ability to leverage recently developed complement modulating drugs will only continue to enhance providers' ability to favorably intervene in many hematological diseases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,28748763	Induced Pluripotent Stem Cell Technology: A Paradigm Shift in Medical Science for Drug Screening and Disease Modeling. BACKGROUND: Induced Pluripotent Stem Cell (IPSC) Technology is the most advanced research as it offers an attractive alternative for establishing patient-specific IPSCs to recapitulate phenotypes of not only monogenic diseases (viz. Thalassaemia,Sickle cell anemia,Haemophilia,Tay-Sachs disease),but also late-onset polygenic diseases (viz. Parkinson's disease,Alzheimer's disease,schizophrenia). Over the hindsight,numerous studies of the past and current scientists have led to the production,maturation and understanding of induced pluripotent stem cell technology and its use in basic and clinical research. METHODS: A systematic search of peer-reviewed scientific literature and clinical trials in public databases were carried out to summarize the evidence on the use of IPSC. RESULTS: Current review sheds light upon the use of patient-derived iPSC models in drug toxicity,screening and discovery which have been derived after referring to more than 200 articles in literature. Furthermore,their use as disease models was also studied signifying the versatility of iPSC lines. CONCLUSION: Through this review,we describe the advent of iPSC technology,where we comprehensively cover the generation of iPSCs and their characterization along with their prospective applications using IPSC banks in disease modeling and drug screening.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,28464177	Hospital Readmissions from Patients' Perspectives. OBJECTIVES: Healthcare expenditures in the United States have increased exponentially and hospital care accounts for one-third of these costs. Approximately 18% of hospitalized Medicare beneficiaries are being readmitted to the hospital within 30 days. Engaging patients in the discharge process can help better identify patients' postdischarge needs and implement more effective readmission prevention strategies. The objective of our study was to identify the factors that contribute to hospital readmission as seen from patients' perspectives in a large urban community hospital. METHODS: We evaluated all consecutive,unplanned readmissions to the hospitalist service within 30 days of discharge,using the STate Action on Avoidable Rehospitalizations diagnostic worksheet with face-to-face patient interviews and retrospective chart reviews. RESULTS: During the study period,80 patients were readmitted within 30 days of their discharge,with 28 of them having more than one readmission. The mean age was 50.8 +- 18.3 years. Of the 80 patients,51% were men and 51% were black. Sickle cell disease was the leading diagnosis (11.3%) in both index admissions and readmissions. Patient interviews identified some modifiable risk factors for readmissions such as the inability to obtain medications or schedule follow-up appointments as well as problems related to transportation,housing,and social support. Despite clear discharge planning and patient understanding of the plan being recorded at discharge,almost one-third of patients appeared to lack the ability to self-manage symptoms and understand the disease process. CONCLUSIONS: Our study demonstrated that engaging patients in discharge planning can help identify barriers within the process. Improvements in socioeconomic/environmental layers of population health have the potential to prevent hospitalizations and readmissions in the long term.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,30700461	Gross anterior segment ischaemia following vitreoretinal surgery for sickle-cell retinopathy. We report the case of a 32-year-old Afrocaribbean man with known stage 3 proliferative sickle-cell retinopathy who presented with a mixed picture of tractional and rhegmatogenous macula off detachment. He underwent left primary 25 g vitrectomy with silicone oil,delamination and endolaser photocoagulation under a general anaesthetic. He,however,presented 48 hours postoperatively with gross anterior segment ischaemia. His pain and ocular signs settled over the course of a few days following administration of supplemental oxygen,oral steroids,analgesia and intravenous hydration. Examination showed resolution of his proptosis and orbital signs as well as anterior segment inflammation. He remains under follow-up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,32448738	A Healthcare Improvement Initiative to Increase Multidisciplinary Pain Management Referrals for Youth with Sickle Cell Disease. BACKGROUND: Chronic pain is a complex integration of biological,psychological,and social variables. Multidisciplinary pain management experts design interventions that treat the multidimensional experience. Children and adolescents with sickle cell disease (SCD) are at risk for chronic pain. Increased risk is associated with multiple characteristics including sickle cell genotype,age,gender,frequency of hospitalization,duration of hospitalization,and certain comorbid diagnoses. Referral to pain management professionals for this population is often delayed. AIMS: To increase multidisciplinary pain management referrals for youth with SCD identified to be at risk for chronic pain. DESIGN: Implementation research. SETTING: One pediatric,academic medical facility serving as a regional sickle cell treatment center in the Midwest. PARTICIPANTS: Children greater than 2 years of age and less than 21 years of age with laboratory confirmed SCD. METHODS: Implementation of an evidence-based screening tool using the consolidated framework for implementation research (CFIR) to guide project planning,design,and evaluation. The CFIR model was paired with the Plan-Do-Study-Act (PDSA) quality improvement methodology to operationalize workflow and sustain project aims. RESULTS AND CONCLUSIONS: Eighty-four percent of all eligible patients were screened during their routine sickle cell appointments resulting in a 110% increase in multidisciplinary pain management referrals. Future interventions and PDSA cycles are targeted at improving attendance at scheduled appointments,reducing hospitalizations,decreasing 30-day readmissions,and shortening length of stay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,36120980	Rates of Opioid Misuse Amongst Patients Receiving Pain Management for Sickle Cell Disease in An Urban Setting. Background and Objective: Sickle Cell Disease (SCD) is known to cause acute severe pain episodes known as vaso-occlusive crisis (VOC) mainly treated with opioid analgesics. Since the opioid epidemic there is an interest in determining the opioid misuse potential in these patients. Therefore,the primary objective of this study is to determine the rates of opioid misuse among patients with SCD by assessing the rate of unexpected drug screening results in a sickle cell disease clinic. Methods: This was a retrospective chart review study conducted at the outpatient sickle cell disease clinic. The primary independent variables were the prescribed opioid medications while the primary dependent variable was the collected opioid metabolite. Descriptive statistics,linear regression and multivariate logistic regression analysis were conducted using SPSS version 24. Results: A total of 100 participants were recruited from July 1,"$2,018.00",to June 30,2020 with 71 included in the analysis. The total mean of morphine milligram equivalents (MME) for all participants was 71.1+-104.9 with 71% of participants having a daily calculated MME of <90MME. The odds of misusing an opioid were 6.72 times higher (P<.02) if a participant used marijuana compared to a participant who didn't. In addition,the odds of misusing an opioid were 2.47 times higher (P<.04) if the patient was prescribed an opioid daily dose greater than 90 MME as opposed to a daily dose less than 90 MME. Conclusion: Participants who consumed greater than 90 MME's per day and utilized marijuana were more likely to misuse opioids.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,32586619	Parents of Children with Sickle Cell Disease Are Interested in Preimplantation Genetic Testing. OBJECTIVE: To evaluate awareness of and attitudes toward preimplantation genetic testing (PGT) for sickle cell disease (SCD) among parents of children with SCD. STUDY DESIGN: Parents of children with SCD were given an educational handbook on PGT before a routine SCD clinic visit. After their clinic visit,parents were asked to complete an anonymous survey. RESULTS: Of 83 patents approached,67 (81%) completed the survey. Only 16 of the 67 parents (24%) were previously aware of PGT for SCD. After our clinic-based education,65 of the 67 parents (97%) indicated that it was important or very important for parents of children with SCD to know about PGT. Among parents interested in having more children,29 of 32 (91%) would personally consider using PGT if covered by insurance. CONCLUSIONS: Parents of children with SCD are generally not aware of PGT. When educated in clinic,parents viewed information on PGT as valuable. Pediatricians and other health care professionals should inform parents of children with SCD about this reproductive option.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,32089275	Sickle Cell Disease is Associated with Increased Morbidity,Resource Utilization,and Readmissions after Common Abdominal Surgeries: A Multistate Analysis,2007-2014. INTRODUCTION: Sickle cell disease (SCD),the most commonly inherited hemoglobinopathy in the United States,increases the likelihood of postoperative complications,resulting in higher costs and readmissions. We used a retrospective cohort study to explore SCD's influence on postoperative complications and readmissions after cholecystectomy,appendectomy,and hysterectomy. METHODS: We used an administrative database's 2007-2014 data from California,Florida,New York,Maryland,and Kentucky. RESULTS: 1,$934.00,562 patients aged >=18 years were included. Compared to non-SCD patients,SCD patients experienced worse outcomes: increased odds of blood transfusion and major and minor complications,higher adjusted odds of 30- and 90-day readmissions,longer length of stay,and higher total hospital charges. CONCLUSION: Sickle cell disease patients are at high risk for poor outcomes based on their demographic characteristics. Therefore,perioperative physicians including hematologists,anesthesiologists,and surgeons need to take this knowledge into consideration for management and counselling of SCD patients on the risks of surgery and recovery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
