PMID	Text
21801912	Valve-sparing aortic root replacement in Loeys-Dietz syndrome. BACKGROUND: Loeys-Dietz syndrome (LDS) is a recently recognized aggressive aortic disorder characterized by root aneurysm, arterial tortuosity, hypertelorism, and bifid uvula or cleft palate. The results of prophylactic root replacement using valve-sparing procedures (valve-sparing root replacement [VSRR]) in patients with LDS is not known. METHODS: We reviewed all patients with clinical and genetic (transforming growth factor-beta receptor mutations) evidence of LDS who underwent VSRR at our institution. Echocardiographic and clinical data were obtained from hospital and follow-up clinic records. RESULTS: From 2002 to 2009, 31 patients with a firm diagnosis of LDS underwent VSRR for aortic root aneurysm. Mean age was 15 years, and 24 (77%) were children. One (3%) patient had a bicuspid aortic valve. Preoperative sinus diameter was 3.9+-0.8 cm (z score 7.0+-2.9) and 2 (6%) had greater than 2+ aortic insufficiency. Thirty patients (97%) underwent reimplantation procedures using a Valsalva graft. There were no operative deaths. Mean follow-up was 3.6 years (range, 0 to 7 years). One patient required late repair of a pseudoaneurysm at the distal aortic anastomosis, and 1 had a conversion to a David reimplantation procedure after a Florida sleeve operation. No patient suffered thromboembolism or endocarditis, and 1 (3%) patient experienced greater than 2+ late aortic insufficiency. No patient required late aortic valve repair or replacement. CONCLUSIONS: Loeys-Dietz syndrome is an aggressive aortic aneurysm syndrome that can be addressed by prophylactic aortic root replacement with low operative risk. Valve-sparing procedures have encouraging early and midterm results, similar to those in Marfan syndrome, and are an attractive option for young patients.
25323276	Curative reconstruction of a cerebral aneurysm by flow diversion with the Pipeline embolisation device in a patient with Loeys-Dietz syndrome. Loeys-Dietz syndrome is a recently described connective tissue disorder with a natural history of extreme vessel tortuosity and aggressive arterial aneurysm formation and rupture. This is the case of a 23-year-old woman with a large, dysplastic cavernous aneurysm who had successful endovascular treatment by flow diversion with the Pipeline embolisation device. Ten-month follow-up demonstrated complete aneurysm occlusion and curative reconstruction of the parent vessel without evidence of vessel injury or dissection. Endovascular treatment with flow-diverting devices is a valid treatment option and can be performed safely and effectively in this complex patient population. 
27487644	LOEYS-DIETZ SYNDROME: PERIOPERATIVE ANESTHESIA CONSIDERATIONS. Loeys-Dietz syndrome (LDS) is a rare autosomal dominant disease related to genetic mutations in receptors for the cytokine transforming growth factor-receptor type 1 (TGFB-R1) or 2 gene (TGFB-R2) on the cell surface. LDS results in abnormal protein synthesis and dysfunctional connective tissue, which can result in unique cardiovascular anesthesia challenges related to perioperative management. Patients with LDS may manifest hypertelorism, bifid uvula or cleft palate, and arterial tortuosity. Virtually all LDS patients show some type of abnormal skin findings and bleeding tendency. These patients may show a rapid progression of aortic dilation, regurgitation, and a propensity towards rupture and/or dissection at a much earlier age and smaller aneurysm size. LDS patients who require surgical intervention require meticulous vigilance from the anesthesiologist. We describe a 26 year old patient with documented LDS type 1 who presented for repair of an ascending/root aneurysm in this case report. Recognition of LDS and intra-operative management of the cardiovascular manifestations of this disease is paramount in ensuring successful surgical outcome and to limit morbidity and mortality.
24431245	Cerebral arterial angioplasty in a patient with Loeys-Dietz syndrome. A 14-year-old boy with Loeys-Dietz syndrome (LDS) had an acute neurologic decline 6 days after a subarachnoid hemorrhage. Cerebral angiography at presentation did not show an aneurysmal source of the hemorrhage. However, on post-bleed day 6 the patient experienced an acutely worsening headache and subsequently lost consciousness. Head CT showed new subarachnoid blood and repeat angiography demonstrated a basilar tip aneurysm. Endovascular coil embolization was performed and his neurologic status improved postoperatively until post-bleed day 9 when he became unresponsive. A CT angiogram demonstrated severe proximal vasospasm. After an unsuccessful attempt to treat the vasospasm medically, the patient was transported to the neurointerventional suite for intra-arterial vasodilator treatment, which also failed to ameliorate the vasospasm. The endovascular surgeons were then faced with the conundrum of attempting a high-risk cerebral angioplasty in a pediatric patient with LDS or returning to maximal medical treatment for severe refractory vasospasm. 
32164578	Safety and outcome of gastrostomy tube placement in patients with Loeys-Dietz syndrome. BACKGROUND: Loeys-Dietz syndrome (LDS) is a systemic connective tissue disease (CTD) associated with a predisposition for intestinal inflammation, food allergy, and failure to thrive, often necessitating nutritional supplementation via gastrostomy tube. Poor wound healing has also been observed in in some patients with CTD, potentially increasing the risk of surgical interventions. We undertook to determine the safety and efficacy of gastrostomy tube placement in this population. METHODS: We performed a retrospective cohort study of 10 LDS patients who had a total of 12 gastrostomy tubes placed. RESULTS: No procedural complications occurred, although one patient developed buried bumper syndrome in the near post-procedural time period and one patient had a small abscess at a surgical stitch. Most patients exhibited improvements in growth, with a median immediate improvement in BMI Z-score of 0.2 per month following the institution of gastrostomy tube feedings. Those with uncontrolled inflammation due to inflammatory bowel disease or eosinophilic gastrointestinal disease showed the least benefit and in some cases failed to demonstrate significant weight gain despite nutritional supplementation. CONCLUSIONS: Gastrostomy tube placement (surgical or endoscopic) is a generally safe and a reasonable therapeutic option for patients with LDS despite their underlying CTD.
30513314	Successful Heart Transplantation in a Patient With Loeys-Dietz Syndrome. Our patient is a 45-year-old woman with a history of Loeys-Dietz syndrome, vertebral artery dissection, stroke, prior atrial septal defect repair, and spontaneous left main coronary artery dissection that was revascularized with coronary artery bypass grafting who progressed to end-stage heart failure. She was listed for cardiac transplantation, and a suitable organ became available. She underwent heart transplantation more than 1 year ago successfully. This is the first reported case of a successful heart transplantation in an individual with Loeys-Dietz syndrome.
35095068	Proposed Management Policy for Pregnant Women with Loeys-Dietz Syndrome Following Prophylactic Aortic Root Replacement Based on Experience from a Tertiary Care Center. Loeys-Dietz syndrome (LDS) is a connective tissue disorder with a high incidence of aortic dissection (AD). After treating two previously reported cases of postpartum AD in women with LDS following prophylactic aortic root replacement (ARR), we succeeded in managing a 30-year-old primigravida with no AD during her peripartum period. On the basis of the patient's stated desire to conceive during preconception counseling, a multidisciplinary team was assembled. She conceived naturally after receiving prophylactic ARR and beta-blocker treatment. Multidisciplinary patient care included precise blood pressure management, continuation of beta-blocker treatment, cardiovascular assessment with echocardiogram, regional anesthesia during labor, prevention of lactation, and resumption of angiotensin II receptor blocker therapy immediately after delivery. On the basis of our assessment of three cases, including this case, and a literature review, we propose a peripartum management strategy for patients with LDS following prophylactic ARR.
27780078	Loeys-Dietz syndrome and pregnancy: The first ten years. The physiological and haemodynamic changes that occur in pregnancy and the postpartum period increase the risk of aortic dissection. Loeys-Dietz syndrome results from mutations in the genes encoding components of the TGF-beta signalling pathway; aortic pathology is of particular concern in this condition but other vascular abnormalities can also be present. Significant maternal morbidity and mortality has been described in patients with Loeys-Dietz syndrome, but successful and uncomplicated pregnancies are still possible. Nevertheless, all patients with this condition should, at present, be treated as very high risk in pregnancy and the postpartum period, until reliable risk prediction tools become available. This review summarises the recent advances in the understanding of the pathophysiology of this condition, and the management strategies currently advocated.
28304197	Endovascular treatment of a dural arteriovenous fistula in a patient with Loeys-Dietz syndrome: A case report. Background Loeys-Dietz syndrome (LDS) is a recently recognized autosomal dominant connective tissue disease. The manifestations of LDS include vascular tortuosity, scoliosis, craniosynostosis, aneurysm and aortic dissections. Clinical presentation A 35-year-old woman treated with Stanford type B aortic dissection and breast cancer was referred to us for Borden type II dural arteriovenous fistula (dAVF) draining to the vein of Galen, involving the midline of tentorium cerebelli. The dAVF was treated successfully by combined transarterial and transvenous embolization. Because of tortuosity of vertebral arteries, a genetic test was conducted confirming LDS type 2. Conclusions To our knowledge, this is the first case report of dAVF associated with LDS. The relationship between LDS and dAVF is unknown but this report shows the possibility that mutation of transforming growth factor beta receptors 2 ( TGFBR2) related to LDS may be related to shunt diseases. Because intervention in LDS seems to be feasible compared to Ehlers Danlos syndrome and Marfan syndrome, it is important to make the correct diagnosis.
24239520	First implantation of Gore Hybrid Vascular Graft in the right vertebral artery for cerebral debranching in a patient with Loeys-Dietz syndrome. A 53-year-old woman with Loeys-Dietz syndrome developed progressive subclavian artery aneurysm and common carotid artery dissection. She was treated successfully by plugging and coiling of the subclavian aneurysm and its side branches after combined cervical debranching using standard carotid-axillary bypass and Gore Hybrid Vascular Graft for vertebral revascularization. Follow-up control (4 weeks) documented patent debranching, and only minimal residual flow in the subclavian aneurysm. The described off-label use for sutureless cerebral revascularisation of the vertebral artery might be a fast, simple, and reliable solution for cervical debranching in selective challenging patients. Further studies are necessary to evaluate side effects and durability.
21756462	Cochlear implantation in Donnai-Barrow syndrome. OBJECTIVE AND IMPORTANCE: Donnai-Barrow syndrome is a rare autosomal recessive disorder associated with severe sensorineural hearing loss (SNHL). Several ocular abnormalities have also been described in this syndrome, including hypertelorism, down-slanting palpebral fissures, myopia and retinal detachment. The condition is also associated with diaphragmatic hernia, exomphalos, absent corpus callosum and developmental delay. We describe the first recorded case of cochlear implantation in this rare disorder. CLINICAL PRESENTATION: This case of Donnai-Barrow syndrome was identified from our paediatric cochlear implant database. A case-note review was performed identifying patient demographics, operative findings and surgical outcome. In addition, pre- and post-operative auditory and communication performance was analysed. INTERVENTION: The child initially received a right cochlear implant at 39 months of age, but unfortunately the device failed 4 years post-operatively. Subsequently, bilateral simultaneous cochlear implantation was performed. BKB scores were 98% for bilateral implant use when tested 2 years post-operatively. Individual testing revealed a score of 94% for the right ear alone, and 80% for the left. The child achieved a 100% score on sound localisation testing using 3 speakers. CONCLUSIONS: Donnai-Barrow syndrome is a rare cause of SNHL compounded by the potential for visual impairment. To our knowledge this is the first report of cochlear implantation to rehabilitate hearing loss in this condition.
32657950	A Case Report of Donnai-Barrow Syndrome. BACKGROUND: A genetic disorder should be considered when an infant presents with multiple congenital anomalies. Because of the acute presentation of an infant with multiple life-threatening defects, a genetic diagnosis of a rare disorder took weeks to delineate. CLINICAL FINDINGS: This case describes a late preterm infant who presented at birth with congenital diaphragmatic hernia, tetralogy of Fallot, cleft lip, low-set ears, and hypertelorism. PRIMARY DIAGNOSIS: Donnai-Barrow syndrome was the final diagnosis confirmed by a defect observed on the LRP2 (2q31.1) gene using sequence analysis. This is a rare disorder that presents with a variety of phenotypic features in infants. INTERVENTIONS: Initial neonatal resuscitation in the delivery room included intubation, positive pressure ventilation, and oxygen supplementation. Extracorporeal membrane oxygenation therapy was initiated from day of life 3 to 15. Initial surgery included correction of the congenital diaphragmatic hernia, and further surgical procedures included tracheostomy, gastrostomy tube, circumcision, ventricular septal defect repair, and cleft lip repair. Physical, occupational, and speech therapies were also initiated. OUTCOMES: The infant was transported to a pediatric rehabilitation facility at 6 months of life for further management of his chronic lung disease requiring tracheostomy with ventilator dependence. PRACTICE RECOMMENDATIONS: Early recognition and diagnosis of genetic syndromes can improve family education and guide treatment interventions. An underlying syndrome should be suspected when an infant presents with multiple congenital defects. Infants with Donnai-Barrow syndrome should have thorough cardiac, neurologic, ophthalmologic, audiologic, and renal examinations due to the gene mutation effects on those systems.
23729546	A family with Camurati-Engelman disease. The role of the missense p.R218C mutation in TGFB1 in bones and endocrine glands. OBJECTIVES: Camurati-Engelmann disease (CED) is a rare form of progressive bone dysplasia due to mutations in the transforming factor gene TGFB1 on chromosome 19q13.1-q13.3. Endocrine complications such as osteoporosis, vitamin D deficiency, delayed puberty and hypogonadotrophic hypogonadism may be present. METHODS AND RESULTS: Genetic analysis of the TGFB1 gene revealed a heterozygous missense mutation p.R218C in exon 4 of chromosome 19q13.1-q13.3 in a 14-year-old girl who presented with typical symptoms of CED, hyperprolactinaemia and menstrual irregularity. The patient responded well to prednisone 5 mg/kg per day as well as calcium and vitamin D supplements. CONCLUSIONS: The role of p.R218C in TGFB1 on the mechanism of the disease itself and the complications of it in bones and endocrine glands remain unclear. Early recognition as well as a detailed understanding of the pathogenesis of the disease is important for future treatment options and better quality of life of such patients.
10685567	Cochlear implantation for auditory rehabilitation in Camurati-Engelmann disease. Camurati-Engelmann disease (progressive hereditary diaphyseal dysplasia) is a rare sclerotic bone disease involving the diaphyses of the long bones, skull base, and clavicles. Progressive sclerosis of cranial nerve foramina has been implicated in cranial nerve deficits. including facial nerve palsy, vestibular disturbances, and hearing loss. Two patients with Camurati-Engelmann disease and concomitant sensorineural hearing loss are presented. Both patients were evaluated for cochlear implantation. One patient was successfully implanted after preoperative imaging revealed no involvement of the internal auditory canals. The porous nature of the affected bone, however. necessitated the inactivation of 1 electrode to prevent facial nerve stimulation. A second patient was rejected as a potential implant recipient due, in part, to narrow internal auditory canals and rapidly progressive disease. The otologic manifestations of Camurati-Engelmann disease are reviewed, and issues related to cochlear implantation in this rare disease are discussed.
19943817	Unusual association between enchondroma and Camurati-Engelmann disease: a case report. This case report describes an enchondroma of the distal phalanx of the right little finger in a 37-year-old woman with Camurati-Engelmann disease. Curettage of the tumor and artificial bone grafting were performed in May 2004. Surgical treatment resulted in a good clinical outcome with no evidence of recurrence at 5-year follow-up. The genetic relationships between Camurati-Engelmann disease and benign chondroid tumors are discussed.
28137547	Repeat Intracranial Expansion After Skull Regrowth in Hyperostotic Disease: Technical Note. OBJECTIVE AND IMPORTANCE: Camurati-Engelmann disease (CED) is a rare, autosomal-dominant genetic disorder resulting in hyperostosis of the long bones and skull. Patients often develop cranial nerve dysfunction and increased intracranial pressure secondary to stenosis of nerve foramina and hyperostosis. Surgical decompression may provide symptomatic relief in select patients; however, a small number of reports document the recurrence of symptoms due to bony regrowth. We present a patient who had been treated previously with bilateral frontal and parietal craniotomy who experienced recurrence of symptoms due to reossification of her cranial bones. This report underscores the progressive nature of CED and its influence on surgical management. Furthermore, we propose a novel surgical approach with multiple craniectomies and titanium mesh cranioplasties that could potentially offer long-term symptomatic relief. CLINICAL PRESENTATION: A 46-year-old female patient with CED who was treated with ventriculoperitoneal shunting, posterior fossa decompression, and multiple craniotomies 2 decades prior presented with signs and symptoms of increased intracranial pressure. Studies of the skull at presentation demonstrated rethickening of cranial bones that resulted in severely decreased intracranial volume. INTERVENTION: A radical craniectomy, requiring 4 separate bone flaps made up of bilateral frontal and parietal bones, was performed. The remaining coronal and sagittal bony struts were drilled to approximately 1 cm thick. Cranioplasties with 4 separate titanium meshes were performed to preserve the natural contour of the patient's skull. CONCLUSIONS: Although surgical decompression could provide some patients with CED symptomatic relief, clinicians should consider managing CED as a chronic condition. To the authors' knowledge, this is one of few case reports documenting the recurrence of symptoms in a patient with CED treated by surgical intervention. Furthermore, we propose that multiple craniectomies with titanium mesh cranioplasties confer more permanent symptomatic control, and, more importantly, lower the risk of recurrence secondary to cranial hyperostosis.
11452173	Scintigraphic evaluation of pamidronate and corticosteroid therapy in a patient with progressive diaphyseal dysplasia (Camurati-Engelmann disease). A 27-year-old woman with progressive diaphyseal dysplasia (Camurati-Engelmann disease) received pamidronate and corticosteroid therapy for bone pain. During therapy, disease activity was assessed serially using bone scintigraphy with Tc-99m HMDP. With pamidronate administration, the bone pain became worse and diaphyseal uptake of Tc-99m HMDP increased, whereas corticosteroid administration improved the bone pain and reduced the diaphyseal uptake. In this case, pamidronate and corticosteroid produced different effects. Bone scintigraphy allowed an objective assessment of the response to these treatments, accurately reflecting clinical symptoms.
15660289	Camurati-Engelmann disease: failure of response to bisphosphonates: report of two cases. Camurati-Engelmann disease is a rare bone disorder characterized by cortical thickening of the diaphysis of tubular bones, with sparing of the epiphysis. It has variable degrees of penetrance and expression, but may be very disabling for the affected individuals who manifest the painful symptoms. The authors report on two women with typical presentation of severe Camurati-Engelmann disease whose treatment with bisphosphonates failed to add any improvement beyond that elicited by corticosteroids alone.
33373554	
28257476	Cardiac iron overload in chronically transfused patients with thalassemia, sickle cell anemia, or myelodysplastic syndrome. The risk and clinical significance of cardiac iron overload due to chronic transfusion varies with the underlying disease. Cardiac iron overload shortens the life expectancy of patients with thalassemia, whereas its effect is unclear in those with myelodysplastic syndromes (MDS). In patients with sickle cell anemia (SCA), iron does not seem to deposit quickly in the heart. Our primary objective was to assess through a multicentric study the prevalence of cardiac iron overload, defined as a cardiovascular magnetic resonance T2*<20 ms, in patients with thalassemia, SCA, or MDS. Patient inclusion criteria were an accurate record of erythrocyte concentrates (ECs) received, a transfusion history >8 ECs in the past year, and age older than 6 years. We included from 9 centers 20 patients with thalassemia, 41 with SCA, and 25 with MDS in 2012-2014. Erythrocytapharesis did not consistently prevent iron overload in patients with SCA. Cardiac iron overload was found in 3 (15%) patients with thalassemia, none with SCA, and 4 (16%) with MDS. The liver iron content (LIC) ranged from 10.4 to 15.2 mg/g dry weight, with no significant differences across groups (P = 0.29). Abnormal T2* was not significantly associated with any of the measures of transfusion or chelation. Ferritin levels showed a strong association with LIC. Non-transferrin-bound iron was high in the thalassemia and MDS groups but low in the SCA group (P<0.001). Hepcidin was low in thalassemia, normal in SCA, and markedly elevated in MDS (P<0.001). Two mechanisms may explain that iron deposition largely spares the heart in SCA: the high level of erythropoiesis recycles the iron and the chronic inflammation retains iron within the macrophages. Thalassemia, in contrast, is characterized by inefficient erythropoiesis, unable to handle free iron. Iron accumulation varies widely in MDS syndromes due to the competing influences of abnormal erythropoiesis, excess iron supply, and inflammation.
33836866	
33836889	A Qualitative Analysis of State Medicaid Coverage Benefits for Allogeneic Hematopoietic Cell Transplantation (alloHCT) for Patients with Sickle Cell Disease (SCD). Sickle cell disease (SCD) is the most common inherited hemoglobin disorder, affecting approximately 100,000 people in the United States. Allogeneic hematopoietic cell transplantation (alloHCT), also known as bone marrow transplant (BMT), is currently the only established curative option for SCD. However, alloHCT is an optional benefit under Medicaid. This study of alloHCT coverage for patients with SCD aims to understand the scope of state Medicaid coverage benefits and BMT financial coordinators' experience working with their state Medicaid programs. States estimated to have more than 50 newborns diagnosed with SCD in 2016 and at least one active BMT Clinical Trials Network (1503 [STRIDE 2], NCT02766465) transplant center (TC) were eligible to participate in this study. Qualitative, semi-structured interviews 30 to 60 minutes in length were conducted with BMT financial coordinators via telephone between May and October 2019. A total of 10 BMT financial coordinators from 10 TCs representing eight states (Florida, Georgia, Illinois, Michigan, New York, Pennsylvania, Texas, and Virginia) participated in the semi-structured interviews. Coordinators in all of the included states reported that alloHCT in children with SCD with a human leukocyte antigen-matched sibling donor was covered by their state Medicaid programs. However, only two states (Florida and Texas) had legislative policies mandating coverage of routine medical costs for patients in clinical trials. TCs in two states (Illinois and Pennsylvania) reported accepting out-of-state Medicaid insurance, but only one state (Michigan) covered both travel and lodging for the patient and one caregiver. Four themes emerged when coordinators were asked about their perspectives and experiences working with their corresponding state Medicaid programs: (1) state Medicaid eligibility criteria based on disability were perceived as being restrictive, and Medicaid reimbursement rates were reported to be low; (2) Medicaid fee-for-service plans were perceived as being more comprehensive and easier to navigate compared to comprehensive managed care (CMC) plans; (3) there is a need to address caregiver and financial assistance beyond the health care costs; and (4) completing the insurance authorization process leading up to alloHCT is critical, including peer-to-peer reviews. There is limited legislative policy to help ensure access to clinical trials and provide out-of-state benefits and travel and lodging for Medicaid enrollees with SCD. These data provide insight into potential areas that could influence changes in policy to enhance access to curative therapy for SCD.
