Citation	maxo_id	maxo_label	Subject	Predicate	disease_id	disease_name	mondo_relationship	hpo_id	hpo_label	hpo_relationship	Object
25203083	MAXO:0000011	physical therapy		TREATS	MONDO:0005380	avascular necrosis	TREATS				
25203083	MAXO:0000652	angiotensin-converting enzyme inhibitor therapy		TREATS							microalbuminuria
25203083	MAXO:0010203	echocardiography		IS USED TO DIAGNOSE	MONDO:0005149	pulmonary hypertension	IS USED TO DIAGNOSE				
25292408			Inclusion in the transplant waiting list	IS USED FOR	MONDO:0004691	<Autosomal dominant polycystic kidney disease (ADPKD)	IS USED FOR				
25292408	MAXO:0000603	Peritoneal Dialysis		TREATS	MONDO:0004691	<Autosomal dominant polycystic kidney disease (ADPKD)	TREATS				
25405392			Losartan treatment	TREATS	MONDO:0007947, MONDO:0007947, MONDO:0007947, MONDO:0007947, MONDO:0007947, MONDO:0007947, , , , 	Marfan's syndrome, Marfan's syndrome, Marfan's syndrome, Marfan's syndrome, Marfan's syndrome, Marfan's syndrome, , , , 	TREATS, TREATS, CONDUCTED FOR, IS USED TO ASSESS, IS USED TO MONITOR, IS USED TO MONITOR, , , , 	, , , , , , , , , 	, , , , , , , , , 	, , , , , , , , , 	
26060304	MAXO:0000943	Deep brain stimulation		TREATS							Progressive Movement Disorder
26909497			Replacement immunoglobulin therapy	TREATS	MONDO:0010421, MONDO:0010421, MONDO:0010421	X-linked Agammaglobulinemia, X-linked Agammaglobulinemia, X-linked Agammaglobulinemia	TREATS, IS USED FOR, ARE USED TO TREAT	, , 	, , 	, , 	
26933038			Mutation screening	IS CONSIDERED FOR	MONDO:0004994	cardiomyopathies	IS CONSIDERED FOR				
26933038	MAXO:0009004	Exome sequencing		IDENTIFIES	, 	, 	, 	, HP:0000339	, pugilistic facies	, IS USED TO DIAGNOSE	Uruguay syndrome
27192671			Danazol Treatment	TREATS	, , MONDO:0005155, MONDO:0002771, MONDO:0004992, , 	, , Liver cirrhosis, Pulmonary fibrosis, Cancer, , 	, , PREVENTS, PREVENTS, PREVENTS, , 	, , , , , , HP:0003394	, , , , , , Muscle cramps	, , , , , , IS USED TO DIAGNOSE	Telomere Diseases
27491360			clinical trials of novel therapies	TREATS	MONDO:0019353	Stargardt disease	TREATS				
27501770			biochemical studies	IS USED TO DIAGNOSE	MONDO:0004992, MONDO:0004992, MONDO:0004992, MONDO:0004992, MONDO:0018875, MONDO:0018875, MONDO:0018875, MONDO:0018875, 	Cancer, Cancer, Cancer, Cancer, Li-Fraumeni syndrome, Li-Fraumeni syndrome, Li-Fraumeni syndrome, Li-Fraumeni syndrome, 	IS USED TO DIAGNOSE, IS USED TO DIAGNOSE, IS USED TO DIAGNOSE, IS USED TO DIAGNOSE, IS USED TO MONITOR, IS USED TO MONITOR, IS USED TO MONITOR, IS USED TO MONITOR, 	, , , , , , , , 	, , , , , , , , 	, , , , , , , , 	
27501770	MAXO:0000427	brain MRI		IS USED TO DIAGNOSE	MONDO:0004992, MONDO:0018875	Cancer, Li-Fraumeni syndrome	IS USED TO DIAGNOSE, IS USED TO MONITOR	, 	, 	, 	
27501770	MAXO:0000431	breast MRI		IS USED TO DIAGNOSE	MONDO:0004992, MONDO:0018875	Cancer, Li-Fraumeni syndrome	IS USED TO DIAGNOSE, IS USED TO MONITOR	, 	, 	, 	
27501770	MAXO:0000527	physical examination		IS USED TO DIAGNOSE	MONDO:0004992, MONDO:0018875	Cancer, Li-Fraumeni syndrome	IS USED TO DIAGNOSE, IS USED TO MONITOR	, 	, 	, 	
27501770	MAXO:0001184	colonoscopy		IS USED TO DIAGNOSE	MONDO:0004992, MONDO:0018875	Cancer, Li-Fraumeni syndrome	IS USED TO DIAGNOSE, IS USED TO MONITOR	, 	, 	, 	
27501770	MAXO:0010363	mammography		IS USED TO DIAGNOSE	MONDO:0004992, MONDO:0018875	Cancer, Li-Fraumeni syndrome	IS USED TO DIAGNOSE, IS USED TO MONITOR	, 	, 	, 	
28007989			Supplementation with oral uridine	TREATS	, , , , 	, , , , 	, , , , 	, , , , HP:0001250	, , , , Seizures	, , , , IS USED TO TREAT	CAD mutations
28237137			increase in the availability of glaucoma medications	TREATS	MONDO:0005041, MONDO:0005041, MONDO:0005041, MONDO:0005041	glaucoma, glaucoma, glaucoma, glaucoma	TREATS, TREATS, TREATS, TREATS	, , , 	, , , 	, , , 	
28400115			Treatment for transient autoimmune hemolysis	TREATS							autoimmune hemolysis
28400115	MAXO:0010042	Thymus transplantation		TREATS	, 	, 	, 	, 	, 	, 	complete DiGeorge syndrome
28411234			long-term treatment with flumazenil	TREATS	MONDO:0013166, , , MONDO:0005027, 	GABA-transaminase deficiency, , , seizures, 	TREATS, , , TREATS, 	, , , , 	, , , , 	, , , , 	
29200009			Antifibrinolytic Therapy	TREATS	, , MONDO:0001531, 	, , Coagulopathy, 	, , TREATS, 	, , , 	, , , 	, , , 	Excessive fibrinolysis
29478819			Vestronidase alfa treatment	TREATS	MONDO:0009662, 	<MPS VII (Sly disease), 	TREATS, 	, 	, 	, 	
29716835			Enzyme replacement therapy with velmanase alfa	TREATS	MONDO:0009561	alpha-mannosidosis	TREATS				
30691927			Ganglioside restitution therapies	TARGETS							Recessive GM3 synthase deficiency
32337771			coenzyme Q10 treatment	TREATS	, , , , , 	, , , , , 	, , , , , 	, , , , , 	, , , , , 	, , , , , 	COQ8A-ataxia
32389449			ketogenic diet therapy	TREATS	, MONDO:0010998, 	, ALG3-CDG, 	, TREATS, 	, , 	, , 	, , 	intractable epilepsy
32754920			hydroxocobalamin treatment	TREATS	, 	, 	, 	, 	, 	, 	isolated methylmalonic acidurias
32792226			Intrathecal delivery of recombinant human arylsulfatase A	TREATS	MONDO:0018868, MONDO:0018868	metachromatic leukodystrophy, metachromatic leukodystrophy	TREATS, IS USED TO DIAGNOSE	, 	, 	, 	
36992422			autologous hematopoietic stem-cell transplant with gene therapy (HSCT-GT)	TREATS	, MONDO:0011382, MONDO:0013517, MONDO:0011382, MONDO:0013517	, sickle cell disease, beta-thalassemia, sickle cell disease, beta-thalassemia	, TREATS, TREATS, TREATS, TREATS	, , , , 	, , , , 	, , , , 	beta-hemoglobinopathies
3995178	MAXO:0001077	splenectomy		TREATS	MONDO:0010518, MONDO:0002049, 	Wiskott-Aldrich syndrome, Thrombocytopenia, 	TREATS, IMPROVES, 	, , 	, , 	, , 	
5658866			folic acid therapy	TREATS	MONDO:0004737, , 	Homocystinuria, , 	TREATS, , 	, , 	, , 	, , 	
7542361			allogeneic bone marrow transplantation	TREATS	MONDO:0010626	X-linked hyper-IgM syndrome	TREATS				
7564233			Catch-up growth	TREATS	MONDO:0009216	Fanconi-Bickel syndrome	TREATS				
7895015			Carbamazepine monotherapy	TREATS	MONDO:0020300	Autosomal dominant nocturnal frontal lobe epilepsy	TREATS				
8097803			Quantitative scintigraphy with radiolabelled serum amyloid P component	IS USED TO DIAGNOSE	MONDO:0021055	Familial amyloid polyneuropathy (FAP)>	IS USED TO DIAGNOSE				
8097803	MAXO:0001175	Liver transplantation		TREATS	, MONDO:0021055, 	, Familial amyloid polyneuropathy (FAP)>, 	, TREATS, 	, , 	, , 	, , 	Hereditary transthyretin amyloidosis
8319716			Peritoneal dialysis COMBINED WITH Oral supplementation of biotin	TREATS	MONDO:0009666, MONDO:0000440, , , MONDO:0015454, , , , 	Holocarboxylase synthetase deficiency, Metabolic acidosis, , , Multiple carboxylase deficiency, , , , 	TREATS, TREATS, , , TREATS, , , , 	, , , , , , , , 	, , , , , , , , 	, , , , , , , , 	
8790089			combined pars plana vitrectomy-lensectomy	TREATS	MONDO:0020236, MONDO:0020236, 	ectopia lentis, ectopia lentis, 	TREATS, TREATS, 	, , 	, , 	, , 	
9389690			T-cell depletion	IS USED TO MINIMIZE	, , , MONDO:0009974	, , , familial hemophagocytic lymphohistiocytosis	, , , IS USED TO TREAT	, , , 	, , , 	, , , 	graft rejection
9389690	MAXO:0010030	bone marrow transplantation		TREATS	MONDO:0009974	familial hemophagocytic lymphohistiocytosis	TREATS				
9543069			allogeneic BMT	TREATS	MONDO:0009662, 	<MPS VII (Sly disease), 	TREATS, 	, 	, 	, 	
9544978			allogeneic bone marrow transplant	TREATS	MONDO:0009693, MONDO:0001341, , 	multiple myeloma, IgA deficiency, , 	TREATS, CORRECTS, , 	, , , 	, , , 	, , , 	
