Citation	Subject	Predicate	Object
24253200	high-dose oral riboflavin therapy: 	AMELIORATES	MONDO:0003608: optic atrophy
21825253	pallidal deep brain stimulation: 	TREATS	MONDO:0000903: myoclonus-dystonia
21825253	pallidal deep brain stimulation: 	REDUCES	psychiatric symptoms: 
7895015	Carbamazepine monotherapy: 	TREATS	MONDO:0020300: Autosomal dominant nocturnal frontal lobe epilepsy
29200009	Antifibrinolytic Therapy: 	TREATS	Excessive fibrinolysis: 
29200009	Tranexamic acid administration: 	TREATS	Bleeding: 
29200009	Antifibrinolytic Therapy: 	TREATS	MONDO:0001531: Coagulopathy
29200009	Tranexamic acid administration: 	IS USED TO REDUCE	Bleeding: 
29716835	Enzyme replacement therapy with velmanase alfa: 	TREATS	MONDO:0009561: alpha-mannosidosis
21067383	transfusion of autologous, genetically modified hematopoietic stem cells: 	TREATS	MONDO:0010518: Wiskott-Aldrich syndrome
21067383	transfusion of autologous, genetically modified hematopoietic stem cells: 	TREATS	MONDO:0002049: Thrombocytopenia
21067383	transfusion of autologous, genetically modified hematopoietic stem cells: 	IS USED TO TREAT	HP:0001892: hemorrhagic diathesis
21067383	transfusion of autologous, genetically modified hematopoietic stem cells: 	IS USED TO TREAT	HP:0000964: eczema
21067383	transfusion of autologous, genetically modified hematopoietic stem cells: 	IS USED TO TREAT	HP:0002960: autoimmunity
21067383	transfusion of autologous, genetically modified hematopoietic stem cells: 	IS USED TO TREAT	predisposition to severe infection: 
27491360	clinical trials of novel therapies: 	TREATS	MONDO:0019353: Stargardt disease
12555938	ketogenic diet: 	TREATS	MONDO:0019169: Pyruvate dehydrogenase complex deficiency
12555938	ketogenic diet: 	TREATS	MONDO:0000188: GLUT1 deficiency syndrome
12555938	Use of long-chain triglycerides: 	TREATS	Failure to thrive: 
12555938	Introduction of a ketogenic diet: 	IS USED TO PREVENT	MONDO:0005027: seizures
12555938	MAXO:0000098: Fasting	IS USED TO INDUCE	HP:0001946: Ketosis
25203083	daily oral prophylactic penicillin: 	TREATS	MONDO:0011382: sickle cell disease
25203083	annual transcranial Doppler examinations: 	IS USED TO DIAGNOSE	MONDO:0011382: sickle cell disease
25203083	long-term transfusion therapy: 	TREATS	MONDO:0011382: sickle cell disease
25203083	use of analgesics: 	TREATS	MONDO:0005380: avascular necrosis
25203083	MAXO:0000011: physical therapy	TREATS	MONDO:0005380: avascular necrosis
25203083	MAXO:0000652: angiotensin-converting enzyme inhibitor therapy	TREATS	microalbuminuria: 
25203083	referral to expert specialists: 	IS USED TO DIAGNOSE	proliferative sickle cell retinopathy: 
25203083	laser photocoagulation: 	IS USED TO TREAT	proliferative sickle cell retinopathy: 
25203083	MAXO:0010203: echocardiography	IS USED TO DIAGNOSE	MONDO:0005149: pulmonary hypertension
25203083	Hydroxyurea therapy: 	TREATS	MONDO:0011382: sickle cell disease
25203083	preoperative transfusion therapy: 	IS USED BEFORE	surgery: 
25203083	assess iron overload: 	IS USED TO DIAGNOSE	MONDO:0011382: sickle cell disease
25203083	iron chelation therapy: 	TREATS	MONDO:0800385: iron overload
25203083	rapid initiation of opioids: 	IS USED TO TREAT	severe pain associated with a vasoocclusive crisis: 
11435464	Mutational screening: 	IS USED TO DIAGNOSE	MONDO:0018940: Congenital myasthenic syndromes
11435464	Expression studies: 	IS USED TO DIAGNOSE	Fast-channel myasthenic syndrome: 
15956085	genotyping of PTPN11: 	IS USED TO DIAGNOSE	MONDO:0018997: Noonan syndrome
20140965	Surgical decompression: 	TREATS	MONDO:0007765: Hyperostosis cranialis interna
20140965	Surgical decompression: 	IS USED TO TREAT	Facial nerve dysfunction: 
20140965	Surgical decompression: 	IS USED TO TREAT	Vestibulocochlear nerve dysfunction: 
21907011	Genome-wide analysis: 	IS USED TO STUDY	Familial Parkinson disease: 
21907011	Linkage and disease segregation analysis: 	EXPLAINS	Autosomal-dominant parkinsonism: 
21907011	Sequence and genotype analysis: 	IDENTIFIES	MUTATIONS IN Familial Parkinson disease: 
29478819	Vestronidase alfa treatment: 	TREATS	MONDO:0009662: <MPS VII (Sly disease)
29478819	Urinary GAG (uGAG) assessment: 	IS USED TO DIAGNOSE	Increased uGAG excretion: 
26909497	Replacement immunoglobulin therapy: 	TREATS	MONDO:0010421: X-linked Agammaglobulinemia
26909497	Aggressive management of intercurrent infections: 	IS USED FOR	MONDO:0010421: X-linked Agammaglobulinemia
26909497	Prophylactic antimicrobials: 	ARE USED TO TREAT	MONDO:0010421: X-linked Agammaglobulinemia
28400115	MAXO:0010042: Thymus transplantation	TREATS	complete DiGeorge syndrome: 
28400115	Treatment for transient autoimmune hemolysis: 	TREATS	autoimmune hemolysis: 
28400115	MAXO:0010042: Thymus transplantation	RESULTS IN	graft loss: 
27192671	Danazol Treatment: 	TREATS	Telomere Diseases: 
27192671	Danazol Treatment: 	PREVENTS	Bone marrow failure: 
27192671	Danazol Treatment: 	PREVENTS	MONDO:0005155: Liver cirrhosis
27192671	Danazol Treatment: 	PREVENTS	MONDO:0002771: Pulmonary fibrosis
27192671	Danazol Treatment: 	PREVENTS	MONDO:0004992: Cancer
27192671	Liver-enzyme level measurement: 	IS USED TO DIAGNOSE	Elevated liver-enzyme levels: 
27192671	Monitoring for muscle cramps: 	IS USED TO DIAGNOSE	HP:0003394: Muscle cramps
9543069	allogeneic BMT: 	IS USED TO TREAT	dyspnea on exertion: 
9544978	allogeneic bone marrow transplant: 	TREATS	MONDO:0009693: multiple myeloma
9544978	allogeneic bone marrow transplant: 	CORRECTS	MONDO:0001341: IgA deficiency
9544978	IgA-deficient and washed blood components: 	PREVENTS	anaphylactic transfusion reactions: 
9544978	IgA-reduced intravenous immunoglobulin: 	PREVENTS	anaphylactic transfusion reactions: 
17200494	Endurance training: 	TREATS	MONDO:0011787: Limb-girdle muscular dystrophy type 2I (LGMD2I)
17200494	Aerobic training: 	TREATS	MONDO:0011787: Limb-girdle muscular dystrophy type 2I (LGMD2I)
15622525	ketogenic diet: 	TREATS	MONDO:0011724: Glut-1 deficiency syndrome
15622525	ketogenic diet: 	IS USED TO TREAT	infantile seizures: 
3995178	MAXO:0001077: splenectomy	TREATS	MONDO:0010518: Wiskott-Aldrich syndrome
3995178	MAXO:0001077: splenectomy	IMPROVES	MONDO:0002049: Thrombocytopenia
3995178	MAXO:0001077: splenectomy	IS USED TO TREAT	reduced mean platelet volume: 
7542361	allogeneic bone marrow transplantation: 	TREATS	MONDO:0010626: X-linked hyper-IgM syndrome
21220679	Bilateral deep brain stimulation of the internal pallidum: 	TREATS	Myoclonus-dystonia due to SGCE-M-D deficiency: 
21220679	Bilateral deep brain stimulation of the internal pallidum: 	REDUCES	HP:0001336: Myoclonus
21220679	Bilateral deep brain stimulation of the internal pallidum: 	REDUCES	HP:0001332: Dystonia
8790089	combined pars plana vitrectomy-lensectomy: 	TREATS	MONDO:0020236: ectopia lentis
8790089	open-loop anterior chamber lens implantation: 	TREATS	MONDO:0020236: ectopia lentis
8790089	YAG laser iridotomy: 	TREATS	pseudophakic pupillary block: 
15184617	Measurement of beta-oxidation enzymes: 	EXCLUDES	MONDO:0019234: Peroxisome biogenesis disorder
15184617	Peroxisomal biochemical analysis in body fluids and cultured skin fibroblasts: 	IS USED TO DIAGNOSE	MONDO:0019234: Peroxisome biogenesis disorder
15184617	DNA analysis of the PEX12 gene: 	CONFIRMS	MONDO:0019234: Peroxisome biogenesis disorder
12512044	measurement of bile acids by mass spectrometry: 	IS USED TO DIAGNOSE	MONDO:0005154: Liver disease
12512044	long-term treatment with cholic acid: 	TREATS	neonatal cholestasis: 
12512044	MRI: 	IS USED TO DIAGNOSE	hepatocyte necrosis: 
21816832	nonmyeloablative HSCT: 	TREATS	MONDO:0042982: GATA2 deficiency
21816832	conditioning with fludarabine and 200 cGy total body irradiation (TBI): 	IS USED TO TREAT	MONDO:0042982: GATA2 deficiency
21816832	conditioning with cyclophosphamide, fludarabine, and TBI: 	IS USED TO TREAT	MONDO:0042982: GATA2 deficiency
21816832	tacrolimus; sirolimus: 	IS USED TO MANAGE	MONDO:0013730: GVHD
8097803	MAXO:0001175: Liver transplantation	TREATS	Hereditary transthyretin amyloidosis: 
8097803	MAXO:0001175: Liver transplantation	TREATS	MONDO:0021055: Familial amyloid polyneuropathy (FAP)>
8097803	Quantitative scintigraphy with radiolabelled serum amyloid P component: 	IS USED TO DIAGNOSE	MONDO:0021055: Familial amyloid polyneuropathy (FAP)>
8097803	MAXO:0001175: Liver transplantation	STOPS	Inexorable progression of neuropathy: 
27501770	MAXO:0000527: physical examination	IS USED TO DIAGNOSE	MONDO:0004992: Cancer
27501770	biochemical studies: 	IS USED TO DIAGNOSE	MONDO:0004992: Cancer
27501770	imaging studies: 	IS USED TO DIAGNOSE	MONDO:0004992: Cancer
27501770	whole-body MRI: 	IS USED TO DIAGNOSE	MONDO:0004992: Cancer
27501770	MAXO:0000427: brain MRI	IS USED TO DIAGNOSE	MONDO:0004992: Cancer
27501770	MAXO:0000431: breast MRI	IS USED TO DIAGNOSE	MONDO:0004992: Cancer
27501770	MAXO:0010363: mammography	IS USED TO DIAGNOSE	MONDO:0004992: Cancer
27501770	abdominal and pelvic ultrasound: 	IS USED TO DIAGNOSE	MONDO:0004992: Cancer
27501770	MAXO:0001184: colonoscopy	IS USED TO DIAGNOSE	MONDO:0004992: Cancer
27501770	MAXO:0000527: physical examination	IS USED TO MONITOR	MONDO:0018875: Li-Fraumeni syndrome
27501770	biochemical studies: 	IS USED TO MONITOR	MONDO:0018875: Li-Fraumeni syndrome
27501770	imaging studies: 	IS USED TO MONITOR	MONDO:0018875: Li-Fraumeni syndrome
27501770	whole-body MRI: 	IS USED TO MONITOR	MONDO:0018875: Li-Fraumeni syndrome
27501770	MAXO:0000427: brain MRI	IS USED TO MONITOR	MONDO:0018875: Li-Fraumeni syndrome
27501770	MAXO:0000431: breast MRI	IS USED TO MONITOR	MONDO:0018875: Li-Fraumeni syndrome
27501770	MAXO:0010363: mammography	IS USED TO MONITOR	MONDO:0018875: Li-Fraumeni syndrome
27501770	abdominal and pelvic ultrasound: 	IS USED TO MONITOR	MONDO:0018875: Li-Fraumeni syndrome
27501770	MAXO:0001184: colonoscopy	IS USED TO MONITOR	MONDO:0018875: Li-Fraumeni syndrome
27501770	imaging studies: 	IS USED TO DETECT	asymptomatic tumours: 
32792226	Intrathecal delivery of recombinant human arylsulfatase A: 	TREATS	MONDO:0018868: metachromatic leukodystrophy
32792226	Motor function assessment: 	IS USED TO DIAGNOSE	MONDO:0018868: metachromatic leukodystrophy
11316696	MAXO:0000780: growth hormone therapy	PROMOTES GROWTH IN	MONDO:0019499: Turner syndrome
14769599	Intravitreal injection of triamcinolone acetonide: 	TREATS	Exudative age-related macular degeneration: 
14769599	Intravitreal injection of triamcinolone acetonide: 	CAUSES	Increase in visual acuity: 
14769599	Intravitreal injection of triamcinolone acetonide: 	CAUSES	Intraocular pressure elevation: 
7564233	Catch-up growth: 	TREATS	MONDO:0009216: Fanconi-Bickel syndrome
19067349	MAXO:0010033: Umbilical cord blood transplantation	TREATS	juvenile metachromatic leukodystrophy: 
19067349	MAXO:0010033: Umbilical cord blood transplantation	TREATS	MONDO:0018868: metachromatic leukodystrophy
19067349	Neuroimaging: 	IS USED TO DIAGNOSE	juvenile metachromatic leukodystrophy: 
19067349	MAXO:0035059: Nerve conduction studies	IS USED TO DIAGNOSE	juvenile metachromatic leukodystrophy: 
19067349	Neurological examinations: 	IS USED TO DIAGNOSE	juvenile metachromatic leukodystrophy: 
19067349	Neuropsychological examinations: 	IS USED TO DIAGNOSE	juvenile metachromatic leukodystrophy: 
19067349	Neuroimaging: 	IS USED TO DIAGNOSE	signal abnormalities: 
24081735	Identification of AP2S1 mutation: 	TREATS	MONDO:0010926: familial hypocalciuric hypercalcemia type 3 (FHH3)
24081735	Use of low calcium formula: 	TREATS	MONDO:0001566: hypercalcemia
24081735	Use of low calcium formula: 	TREATS	hypercalciuria: 
24081735	Feeding with a mixture of low calcium formula and standard formula: 	TREATS	MONDO:0001566: hypercalcemia
24081735	Use of low calcium formula: 	IS USED TO TREAT	HP:0001508: poor weight gain
17018651	Growth hormone treatment: 	TREATS	MONDO:0009061: cystic fibrosis
17018651	daily recombinant human GH (rhGH) treatment: 	TREATS	MONDO:0009061: cystic fibrosis
17018651	Growth hormone treatment: 	IS USED TO TREAT	reduced height: 
17018651	Growth hormone treatment: 	IS USED TO TREAT	reduced weight: 
28237137	increase in the availability of glaucoma medications: 	TREATS	MONDO:0005041: glaucoma
28237137	use of laser trabeculoplasty: 	TREATS	MONDO:0005041: glaucoma
28237137	decrease in invasive incisional surgery: 	TREATS	MONDO:0005041: glaucoma
28237137	microinvasive glaucoma surgery: 	TREATS	MONDO:0005041: glaucoma
28007989	Supplementation with oral uridine: 	TREATS	CAD mutations: 
28007989	Supplementation with oral uridine: 	TREATS	uridine-responsive epileptic encephalopathy: 
28007989	Supplementation with oral uridine: 	TREATS	Epileptic encephalopathy: 
28007989	Supplementation with oral uridine: 	TREATS	Anaemia with anisopoikilocytosis: 
28007989	Supplementation with oral uridine: 	IS USED TO TREAT	HP:0001250: Seizures
26933038	MAXO:0009004: Exome sequencing	IDENTIFIES	Uruguay syndrome: 
26933038	Mutation screening: 	IS CONSIDERED FOR	MONDO:0004994: cardiomyopathies
26933038	MAXO:0009004: Exome sequencing	IS USED TO DIAGNOSE	HP:0000339: pugilistic facies
28411234	long-term treatment with flumazenil: 	TREATS	MONDO:0013166: GABA-transaminase deficiency
28411234	continuous flumazenil: 	TREATS	neonatal encephalopathy: 
28411234	continuous flumazenil: 	TREATS	infantile-onset encephalopathy: 
28411234	continuous flumazenil: 	TREATS	MONDO:0005027: seizures
28411234	continuous flumazenil: 	IS USED TO TREAT	excessive adventitious movements: 
20091517	MAXO:0000088: Dietary interventions	TREATS	MONDO:0009861: Phenylketonuria
20091517	Low-phenylalanine diet: 	TREATS	MONDO:0009861: Phenylketonuria
20091517	MAXO:0000088: Dietary interventions	PREVENTS	Mental handicap: 
32754920	hydroxocobalamin treatment: 	TREATS	isolated methylmalonic acidurias: 
32754920	calculated diet with amino acid supplements: 	TREATS	isolated methylmalonic acidurias: 
32389449	ketogenic diet therapy: 	TREATS	intractable epilepsy: 
32389449	ketogenic diet therapy: 	TREATS	MONDO:0010998: ALG3-CDG
32389449	ketogenic diet therapy: 	IS USED TO TREAT	intractable seizures: 
5658866	folic acid therapy: 	TREATS	MONDO:0004737: Homocystinuria
5658866	folic acid therapy: 	IS USED TO TREAT	Subnormal serum folate levels: 
5658866	folic acid therapy: 	IS USED TO TREAT	increased folate clearance: 
